Item,Reference(s),Value,Footprint,Quantity,Have,On order,
1,C1 C2 C33 C38 C39 C40 C41 C42 C44 C5 C6,C,Capacitors_SMD:C_0402,11,,,
2,C10 C11 C7 C8,10pf,Capacitors_SMD:C_0402,5,100,,
3,C12 C13,12pf,Capacitors_SMD:C_0402,2,10,,
4,C14,2.2pf,Capacitors_SMD:C_0402,1,,25,
5,C15,22pf,Capacitors_SMD:C_0402,1,10,,
6,C16 C31,33pf,Capacitors_SMD:C_0402,2,10,,
7,C17,4.7pf,Capacitors_SMD:C_0402,1,10,,
,C1,6.8pf,,1,,25,
,C5 C6,100nf,,2,,100,
8,C18 C28,47pf,Capacitors_SMD:C_0402,2,10,,
9,C19 C22 C30,10nf,Capacitors_SMD:C_0402,3,50,,
10,C20 C24 C29 C35,1nf,Capacitors_SMD:C_0402,5,,50,
11,C21,1.8pf,Capacitors_SMD:C_0402,1,,25,
12,C23,15pf,Capacitors_SMD:C_0402,1,10,,
13,C25 C27,27pf,Capacitors_SMD:C_0402,2,10,,
14,C26 C37 C4 C9,100pf,Capacitors_SMD:C_0402,4,25,,
15,C3,1uf,Capacitors_SMD:C_0402,10,25,50,
16,C32 C34,3.3uf,Capacitors_SMD:C_1206,2,2,5,
17,C36,56pf,Capacitors_SMD:C_0402,1,10,,
18,C43,47pF,Capacitors_SMD:C_0402,1,,25,
19,D1 D2,LED,LEDs:LED-0603,2,,,
20,J1 J2,edgeMountSMA,hardwareRev1:EdgeSMA,2,,,
21,JMP2,SJMPClosed,hardwareRev1:SMDJMP-CLOSED,1,,,
22,JMP3 JMP4,SJMPOpen,hardwareRev1:SMDJMP-OPEN,2,,,
23,L1,60nh,Resistors_SMD:R_0402,1,,25,
24,L10,39nH,Resistors_SMD:R_0402,1,10,,
25,L11,47nH,Resistors_SMD:R_0402,1,10,,
26,L12,8.2nH,Resistors_SMD:R_0402,1,,10,
27,L13,33nH,Resistors_SMD:R_1206,1,1,5,
28,L14,1uH,Resistors_SMD:R_0402,1,2,10,
29,L15,15nH,Resistors_SMD:R_0402,1,2,25,2
30,L16,27nH,Resistors_SMD:R_0402,1,,25,
31,L17,INDUCTOR,Resistors_SMD:R_0402,1,,DNP,
32,L2 L3,150nH,Resistors_SMD:R_0402,2,,10,
33,L4 L5 L9,120nH,Resistors_SMD:R_0402,3,10,,
34,L6 L7,68nH,Resistors_SMD:R_0402,2,10,,
35,L8,150nh,Resistors_SMD:R_0402,1,,,
36,P1,CONN_11X2,hardwareRev1:1.27mmPitchHeader11X2,1,,,
37,P2 P5 P6,CONN_1,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,3,,,
38,P3,CONN_8,Connectors_Molex:Connector_Molex_PicoBlade_53398-0871,1,,,
39,P4,CONN_5X2,hardwareRev1:CortexDebug,1,,,
40,R1,180,Resistors_SMD:R_0402,1,,,25
,,80,,2,,,25
41,R2 R3 R4 R5 R6,R,Resistors_SMD:R_0402,5,,,
42,R7,10,Resistors_SMD:R_0402,1,,,25
43,RF1,RFConn,hardwareRev1:1.27mm2X8,1,,,
44,RF2,NEO7,hardwareRev1:NEO-7,1,,,
45,U1,AX503,Housings_DFN_QFN:QFN-28-1EP_5x5mm_Pitch0.5mm,1,,,
46,U2,PE42424,hardwareRev1:PE4242,1,,,
47,U3,RF5110G,Housings_DFN_QFN:QFN-16-1EP_3x3mm_Pitch0.5mm,1,1,,
48,U4,MKL26Z128VLH4,w_smd_lqfp:lqfp64,1,,,
49,U6,MICRO-B_USB,USB:USB micro-female,1,,,
50,X1,TCXO,hardwareRev1:FOX924B,1,,,
