Item,Reference(s),Value,Footprint,Manufacturer PN,Quantity,Have,Ordering,
2,C10,22uf,Capacitors_SMD:C_1206,GRM31CR61E226ME15L,1,0,5,
3,C11,100nf,Capacitors_SMD:C_0402,,1,90,0,
4,C12,47uf,Capacitors_SMD:C_1206,GRM31CE70J476ME15L,1,0,3,
5,C13 C16 C6,10uf,Capacitors_SMD:C_0805,GRM21BR61E106KA73L,4,0,10,
6,C14,.68uf,Capacitors_SMD:C_0402,CL21F684ZAFNNNE,1,0,10,
7,C15 C2 C3 C5,1uf,Capacitors_SMD:C_0402,,6,40,0,
11,C9,4.7uf,Capacitors_SMD:C_0805,CC0805ZRY5V6BB475,1,0,10,
12,D1,PWRBAD,LEDs:LED-0603,,1,Lots. ,,
14,D3 D8 D9,1n4001,Diodes_SMD:SOD-323,1N4148WX-TP,3,0,10,
16,D6,CMDSH2-4L,Diodes_SMD:SOD-323,CMDSH2-4L CT-ND,1,,2,
17,D7,CMSH3-40MA,Diodes_SMD:Diode-SMA_Standard,CMSH3-40MA TR13CT-ND,1,,2,
18,F1,FUSE,Fuse_Holders_and_Fuses:Fuse_SMD2920,MF-LSMF260X-2,1,,3,
19,L1,2.2uh,SMD_Packages:SMD-2010_Pol,TYS50402R2N-10,1,,2,
20,L2,5.6uh,ASPI-6045S-5R6M-T:ASPI-6045S-5R6M-T,ASPI-6045S-5R6M-T,1,,2,
21,P1,12Vin,Pin_Headers:Pin_Header_Straight_1x02,,1,,,
28,P3,CONN_8X2,hardwareRev1:1.27mm2X8,,1,,,
29,P4,CONN_11X2,hardwareRev1:1.27mmPitchHeader11X2,,1,,,
32,Q1,NPN-numbered,Housings_SOT-23_SOT-143_TSOT-6:SOT-23,MMBT3904LT1G,1,,10,
33,Q2,MOSFET_P,hardwareRev1:DMP2018LFK-7,DMP2018LFK-7,1,,2,
34,Q3,MOS_N_numbered,Housings_SOT-23_SOT-143_TSOT-6:SOT-23,DMG2302U,1,,5,
35,R1,1500,Resistors_SMD:R_0402,,1,,25,
36,R10 R11,100,Resistors_SMD:R_0402,,2,,25,
37,R12 R13 R16 R17 R9,0,Resistors_SMD:R_0402,,5,,100,
38,R14 R15,100,Resistors_SMD:R_0402,,2,,25,
39,R18 R3,1000,Resistors_SMD:R_0402,,4,,100,
41,R2,470,Resistors_SMD:R_0402,,1,,25,
42,R20 R21,3.9k,Resistors_SMD:R_0402,,2,,25,
43,R23 R24,10K,Resistors_SMD:R_0402,,7,,100,1
44,R25,33.2k,Resistors_SMD:R_0402,,1,,10,
46,R27,13.7k,Resistors_SMD:R_0402,,1,,10,
47,R29,50k,Resistors_SMD:R_0402,,1,,10,
48,R31,237k,Resistors_SMD:R_0402,,1,,10,
49,R32,14.3k,Resistors_SMD:R_0402,,1,,10,
50,R33,330k,Resistors_SMD:R_0402,,1,,10,
51,R34,0.1,Resistors_SMD:R_0805,,1,,10,
53,R36,30.1K,Resistors_SMD:R_0402,,1,,10,
54,R37,95.3K,Resistors_SMD:R_0402,,1,,10,
55,R38 R39,165,Resistors_SMD:R_0402,,2,,25,
56,R4,270,Resistors_SMD:R_0402,,1,,25,
57,R40 R41 R42 R43,470K,Resistors_SMD:R_0402,,4,,25,
58,R44 R45,4.7k,Resistors_SMD:R_0402,,2,,100,
59,R5,200000,Resistors_SMD:R_0402,,1,,25,
61,R7,0.02,Resistors_SMD:R_0805,CRF0805-FX-R020ELF,1,,3,
62,TH1 TH2,THERMISTOR,Pin_Headers:Pin_Header_Straight_1x02,,2,,,
63,U1,KL03-QFN24,Housings_DFN_QFN:QFN-24-1EP_4x4mm_Pitch0.5mm,,1,,,
64,U2,TLV71209DBV,Housings_SOT-23_SOT-143_TSOT-6:SOT-23-5,AP2204K-3.3TRG1,1,,,
65,U3,LT6105,hardwareRev1:LT6105,,1,,,
66,U5,TPS563200,Housings_SOT-23_SOT-143_TSOT-6:SOT-23-6,,1,,,
67,U6,LT3652,Housings_DFN_QFN:DFN-12-1EP_3x3mm_Pitch0.45mm,,1,,,
68,U7,LT4415,Housings_DFN_QFN:DFN-16-1EP_3x5mm_Pitch0.5mm,,1,,,
